name,location_id,website
The Oak Wine and Beer,15011718,https://www.facebook.com/108391944024942
Santa Papa Buffet por Kilo,15032272,
Peixe in Box,15032897,http://www.facebook.com/Peixeinbox/
Donnas Padeiras,15033701,http://www.donnaspadeiras.com.br
Da Ordem - Nyck Costela,15048398,http://www.facebook.com/nyckcostelanorolete/
Chō Street Food,15295692,https://www.facebook.com/100596639098247
Bacareto - Cucina e Pasta,15058417,http://www.bacareto.com.br
Priero Bistro & Cafe,15070043,https://www.facebook.com/bistropriero/
Casa das Massas Batel,15095543,http://www.casadasmassasbatel.com.br
Kadan Cervejas Artesanais,15112258,http://www.facebook.com/kadancervejasartesanais/
Pasta lá em Casa,15112395,http://www.pastalaemcasa.com.br
Palco Dos 5 Sentidos,15117548,http://www.palcodos5sentidos.com.br
Mercado da Cerveja,15131039,
Ben Café,15143337,https://www.facebook.com/bencafecafeteria/
